Date,Close
2024-05-22 00:00:00-04:00,145.8667755126953
2024-05-23 00:00:00-04:00,142.2557373046875
2024-05-24 00:00:00-04:00,139.66148376464844
2024-05-28 00:00:00-04:00,137.20030212402344
2024-05-29 00:00:00-04:00,137.25729370117188
2024-05-30 00:00:00-04:00,138.0555419921875
2024-05-31 00:00:00-04:00,139.37640380859375
2024-06-03 00:00:00-04:00,140.39320373535156
2024-06-04 00:00:00-04:00,140.4502410888672
2024-06-05 00:00:00-04:00,138.7112274169922
2024-06-06 00:00:00-04:00,139.1388397216797
2024-06-07 00:00:00-04:00,139.7660369873047
2024-06-10 00:00:00-04:00,139.81353759765625
2024-06-11 00:00:00-04:00,139.46192932128906
2024-06-12 00:00:00-04:00,138.17909240722656
2024-06-13 00:00:00-04:00,138.2170867919922
2024-06-14 00:00:00-04:00,138.30259704589844
2024-06-17 00:00:00-04:00,138.6922149658203
2024-06-18 00:00:00-04:00,138.4071502685547
2024-06-20 00:00:00-04:00,140.4312286376953
2024-06-21 00:00:00-04:00,141.3529815673828
2024-06-24 00:00:00-04:00,141.70458984375
2024-06-25 00:00:00-04:00,139.87054443359375
2024-06-26 00:00:00-04:00,139.5189666748047
2024-06-27 00:00:00-04:00,138.5496826171875
2024-06-28 00:00:00-04:00,138.89178466796875
2024-07-01 00:00:00-04:00,139.15786743164062
2024-07-02 00:00:00-04:00,138.76824951171875
2024-07-03 00:00:00-04:00,138.44515991210938
2024-07-05 00:00:00-04:00,139.19586181640625
2024-07-08 00:00:00-04:00,138.24560546875
2024-07-09 00:00:00-04:00,139.73751831054688
2024-07-10 00:00:00-04:00,141.99916076660156
2024-07-11 00:00:00-04:00,142.2557373046875
2024-07-12 00:00:00-04:00,142.42678833007812
2024-07-15 00:00:00-04:00,141.81863403320312
2024-07-16 00:00:00-04:00,143.50059509277344
2024-07-17 00:00:00-04:00,148.7936248779297
2024-07-18 00:00:00-04:00,147.69129943847656
2024-07-19 00:00:00-04:00,146.9976043701172
2024-07-22 00:00:00-04:00,146.5699920654297
2024-07-23 00:00:00-04:00,144.77395629882812
2024-07-24 00:00:00-04:00,148.50856018066406
2024-07-25 00:00:00-04:00,151.70144653320312
2024-07-26 00:00:00-04:00,152.65170288085938
2024-07-29 00:00:00-04:00,150.67515563964844
2024-07-30 00:00:00-04:00,153.30740356445312
2024-07-31 00:00:00-04:00,150.00047302246094
2024-08-01 00:00:00-04:00,152.76573181152344
2024-08-02 00:00:00-04:00,155.9776611328125
2024-08-05 00:00:00-04:00,153.2313690185547
2024-08-06 00:00:00-04:00,151.0647735595703
2024-08-07 00:00:00-04:00,150.9982452392578
2024-08-08 00:00:00-04:00,152.25262451171875
2024-08-09 00:00:00-04:00,152.63270568847656
2024-08-12 00:00:00-04:00,151.9295196533203
2024-08-13 00:00:00-04:00,150.5135955810547
2024-08-14 00:00:00-04:00,150.59913635253906
2024-08-15 00:00:00-04:00,151.17881774902344
2024-08-16 00:00:00-04:00,151.4638671875
2024-08-19 00:00:00-04:00,151.69195556640625
2024-08-20 00:00:00-04:00,152.19558715820312
2024-08-21 00:00:00-04:00,153.4024200439453
2024-08-22 00:00:00-04:00,154.2766876220703
2024-08-23 00:00:00-04:00,155.96817016601562
2024-08-26 00:00:00-04:00,156.42430114746094
2024-08-27 00:00:00-04:00,156.0221405029297
2024-08-28 00:00:00-04:00,156.95089721679688
2024-08-29 00:00:00-04:00,157.24771118164062
2024-08-30 00:00:00-04:00,158.80844116210938
2024-09-03 00:00:00-04:00,160.05316162109375
2024-09-04 00:00:00-04:00,160.24465942382812
2024-09-05 00:00:00-04:00,157.97543334960938
2024-09-06 00:00:00-04:00,157.39137268066406
2024-09-09 00:00:00-04:00,159.52655029296875
2024-09-10 00:00:00-04:00,160.26380920410156
2024-09-11 00:00:00-04:00,157.81265258789062
2024-09-12 00:00:00-04:00,157.64028930664062
2024-09-13 00:00:00-04:00,158.48287963867188
2024-09-16 00:00:00-04:00,159.89041137695312
2024-09-17 00:00:00-04:00,159.9669647216797
2024-09-18 00:00:00-04:00,159.0861053466797
2024-09-19 00:00:00-04:00,157.81265258789062
2024-09-20 00:00:00-04:00,157.1807403564453
2024-09-23 00:00:00-04:00,156.28067016601562
2024-09-24 00:00:00-04:00,155.859375
2024-09-25 00:00:00-04:00,153.77206420898438
2024-09-26 00:00:00-04:00,154.52845764160156
2024-09-27 00:00:00-04:00,154.5380401611328
2024-09-30 00:00:00-04:00,155.1699981689453
2024-10-01 00:00:00-04:00,155.1029815673828
2024-10-02 00:00:00-04:00,154.3178253173828
2024-10-03 00:00:00-04:00,153.6763153076172
2024-10-04 00:00:00-04:00,153.47523498535156
2024-10-07 00:00:00-04:00,152.74755859375
2024-10-08 00:00:00-04:00,152.9007568359375
2024-10-09 00:00:00-04:00,153.81993103027344
2024-10-10 00:00:00-04:00,153.6858673095703
2024-10-11 00:00:00-04:00,154.5955047607422
2024-10-14 00:00:00-04:00,154.7295379638672
2024-10-15 00:00:00-04:00,157.12326049804688
2024-10-16 00:00:00-04:00,157.2956085205078
2024-10-17 00:00:00-04:00,157.4775390625
2024-10-18 00:00:00-04:00,158.0998992919922
2024-10-21 00:00:00-04:00,155.90725708007812
2024-10-22 00:00:00-04:00,156.50088500976562
2024-10-23 00:00:00-04:00,158.80844116210938
2024-10-24 00:00:00-04:00,156.71153259277344
2024-10-25 00:00:00-04:00,154.0401611328125
2024-10-28 00:00:00-04:00,154.7295379638672
2024-10-29 00:00:00-04:00,153.28375244140625
2024-10-30 00:00:00-04:00,153.78163146972656
2024-10-31 00:00:00-04:00,153.0635223388672
2024-11-01 00:00:00-04:00,153.32205200195312
2024-11-04 00:00:00-05:00,151.51239013671875
2024-11-05 00:00:00-05:00,151.6177215576172
2024-11-06 00:00:00-05:00,151.16769409179688
2024-11-07 00:00:00-05:00,150.0666046142578
2024-11-08 00:00:00-05:00,148.8601837158203
2024-11-11 00:00:00-05:00,148.44842529296875
2024-11-12 00:00:00-05:00,146.15049743652344
2024-11-13 00:00:00-05:00,146.72499084472656
2024-11-14 00:00:00-05:00,145.4132080078125
2024-11-15 00:00:00-05:00,147.45266723632812
2024-11-18 00:00:00-05:00,148.18992614746094
2024-11-19 00:00:00-05:00,146.4951934814453
2024-11-20 00:00:00-05:00,146.6005096435547
2024-11-21 00:00:00-05:00,148.88888549804688
2024-11-22 00:00:00-05:00,148.5729217529297
2024-11-25 00:00:00-05:00,149.15699768066406
2024-11-26 00:00:00-05:00,149.1376953125
2024-11-27 00:00:00-05:00,149.98703002929688
2024-11-29 00:00:00-05:00,149.61061096191406
2024-12-02 00:00:00-05:00,149.40794372558594
2024-12-03 00:00:00-05:00,147.05291748046875
2024-12-04 00:00:00-05:00,145.228759765625
2024-12-05 00:00:00-05:00,144.31185913085938
2024-12-06 00:00:00-05:00,144.10916137695312
2024-12-09 00:00:00-05:00,144.3890838623047
2024-12-10 00:00:00-05:00,144.0319366455078
2024-12-11 00:00:00-05:00,141.53216552734375
2024-12-12 00:00:00-05:00,141.1461181640625
2024-12-13 00:00:00-05:00,141.51287841796875
2024-12-16 00:00:00-05:00,138.83935546875
2024-12-17 00:00:00-05:00,141.3101806640625
2024-12-18 00:00:00-05:00,139.70799255371094
2024-12-19 00:00:00-05:00,138.57875061035156
2024-12-20 00:00:00-05:00,139.437744140625
2024-12-23 00:00:00-05:00,140.20989990234375
2024-12-24 00:00:00-05:00,140.76968383789062
2024-12-26 00:00:00-05:00,140.5090789794922
2024-12-27 00:00:00-05:00,139.99752807617188
2024-12-30 00:00:00-05:00,138.34710693359375
